Mã ICD,Tên bệnh
S61.1,vết thương hở các ngón tay với tổn thương móng
S61.7,đa vết thương hở ở cổ tay và bàn tay
S61.8,vết thương hở các phần khác của cổ tay và bàn tay
S61.9,vết thương hở của cổ tay và bàn tay phần không xác định
S62,gãy xương tầm cổ tay và bàn tay
S62.0,gãy xương của xương thuyền bàn tay
S62.00,gãy xương của xương thuyền bàn tay gãy kín
S62.01,gãy xương của xương thuyền bàn tay gãy hở
S62.1,gãy xương khớp cổ tay khác
S62.10,gãy xương khớp cổ tay khác gãy kín
S62.11,gãy xương khớp cổ tay khác gãy hở
S62.2,gãy xương đốt đầu bàn tay
T69.8,tác dụng xác định khác của hạ nhiệt
T69.9,tác dụng hạ nhiệt chưa xác định
T70,tác động của áp lực không khí và áp lực nước
T70.0,viêm tai do chấn thương khí áp
T70.1,viêm xoang do chấn thương khí áp
T70.2,tác dụng khác và chưa xác định của độ cao
T70.3,bệnh do thùng lặn bệnh lý do giảm áp
T70.4,tác động của áp lực dịch cao
T70.8,tác động khác của áp lực khí và áp lực nước
T70.9,tác động áp lực khí và áp lực nước chưa xác định
T71,ngạt thở
T73,tác động của các thiếu hụt khác
T73.0,tác động của đói
T73.1,tác động của khát
T73.2,kiệt sức do phơi nhiễm
T73.3,kiệt sức do cố gắng quá sức
T06.8,tổn thương xác định khác tác động nhiều vùng cơ thể
T07,đa tổn thương chưa xác định
Z40,phẫu thuật dự phòng
Z40.0,phẫu thuật dự phòng các nguy cơ liên quan đến khối u ác tính
Z40.8,phẫu thuật dự phòng khác
Z40.9,phẫu thuật dự phòng không đặc hiệu
Z41,các thủ thuật vì những mục đích khác không phải phục hồi sức khỏe
Z41.0,cấy tóc
Z41.1,phẫu thuật tạo hình do vẻ bên ngoài xấu
Z41.2,cắt bao qui đầu theo tập tục và thường quy
Z41.3,bấm lỗ tai
Z41.8,các thủ thuật khác vì các mục đích khác không phải phục hồi sức khỏe
Z41.9,các thủ thuật vì những mục đích khác không phải phục hồi sức khỏe không đặc hiệu
Z42,chăm sóc theo dõi liên quan phẫu thuật tạo hình
Z42.0,chăm sóc theo dõi phẫu thuật tạo hình vùng đầu và cổ
Z42.1,chăm sóc theo dõi phẫu thuật tạo hình vú
Z42.2,chăm sóc theo dõi phẫu thuật tạo hình các phần khác của thân mình
Z42.3,chăm sóc theo dõi phẫu thuật tạo hình chi trên
T35.5,tổn thương do cóng lạnh chưa xác định tại chi dưới
T35.6,tổn thương do cóng lạnh chưa xác định tác động nhiều vùng cơ thể
T35.7,tổn thương do cóng lạnh chưa xác định tại vị trí chưa xác định
T36,nhiễm độc do dùng kháng sinh toàn thân
T36.0,ngộ độc kháng sinh penicillin
T36.1,ngộ độc kháng sinh cefalosporin và kháng sinh beta lactam khác
T36.2,ngộ độc kháng sinh nhóm chloramphenicol
T36.3,ngộ độc kháng sinh macrolid
T36.4,ngộ độc kháng sinh tetracyclin
T36.5,ngộ độc kháng sinh aminoglycosid
T36.6,ngộ độc kháng sinh rifamycin
T36.7,ngộ độc kháng sinh chống nấm toàn thân
T36.8,ngộ độc kháng sinh toàn thân khác
T36.9,ngộ độc kháng sinh toàn thân chưa xác định
T37,nhiễm độc do chất chống nhiễm trùng và chống ký sinh trùng khác dùng toàn thân
T37.0,ngộ độc sulfonamid
T37.1,ngộ độc thuốc chống mycobacterial
T37.2,ngộ độc thuốc chống sốt rét và thuốc tác động trên đơn bào máu khác
T37.3,ngộ độc thuốc chống đơn bào khác
T37.4,ngộ độc thuốc chống giun sán
T37.5,ngộ độc thuốc chống virus
T37.8,ngộ độc thuốc chống nhiễm trùng và chống ký sinh trùng khác dùng toàn thân đã xác định
L94.1,xơ cứng bì dạng dải
L94.2,lắng đọng calci ở da
L94.3,xơ cứng ngón
L94.4,sẩn gottron
L94.5,bệnh teo da dạng mạng lưới giãn mạch
L94.6,bệnh ainhum
L94.8,các bệnh tổ chức liên kết khu trú đặc hiệu khác
L94.9,các bệnh tổ chức liên kết khu trú không điển hình
L95,viêm mao mạch ở da chưa phân loại ở phần khác
L95.0,viêm mạch mạng lưới
L95.1,ban đỏ nổi cục rắn
L95.8,viêm mao mạch ở da
L95.9,viêm mao mạch ở da không điển hình
L97,loét chi dưới chưa phân loại ở phần khác
Z42.4,chăm sóc theo dõi phẫu thuật tạo hình chi dưới
Z42.8,chăm sóc theo dõi phẫu thuật tạo hình các phần khác của cơ thể
Z42.9,chăm sóc theo dõi phẫu thuật tạo hình không đặc hiệu
Z43,chăm sóc các lỗ mở nhân tạo
Z43.0,chăm sóc lỗ mở khí quản
Z43.1,chăm sóc lỗ mở thông dạ dày
Z43.2,chăm sóc lỗ mở thông hồi tràng
Z43.3,chăm sóc lỗ mở thông đại tràng
Z43.4,chăm sóc các lỗ mở nhân tạo khác của đường tiêu hóa
T13.5,tổn thương cơ bắp chưa xác định và gân tại chi dưới tầm chưa xác định
T13.6,chấn thương cắt cụt tại chi dưới tầm chưa xác định
T13.8,tổn thương khác đã xác định tại chi dưới tầm chưa xác định
T13.9,tổn thương chưa xác định tại chi dưới tầm chưa xác định
T14,tổn thương chưa xác định vùng cơ thể
L94.0,xơ cứng bì khu trú dạng mảng
T14.0,tổn thương nông tại vùng cơ thể chưa xác định
T14.1,vết thương hở chưa xác định vùng cơ thể
T14.2,gãy xương chưa xác định vùng cơ thể
T14.20,gãy xương chưa xác định vùng cơ thể gãy kín
T14.21,gãy xương chưa xác định vùng cơ thể gãy hở
T14.3,trật khớp bong gân và căng cơ vùng cơ thể không xác định
T14.4,tổn thương nhiều dây thần kinh vùng cơ thể chưa xác định
T14.5,tổn thương mạch máu vùng cơ thể chưa xác định
T14.6,tổn thương gân và cơ bắp cùng cơ thể chưa xác định
T14.7,tổn thương dập nát và chấn thương cắt cụt vùng cơ thể chưa xác định
T14.8,tổn thương khác của vùng cơ thể chưa xác định
T14.9,tổn thương chưa xác định
T37.9,ngộ độc thuốc chống nhiễm trùng và ký sinh trùng khác dùng toàn thân chưa xác định
T38,nhiễm độc do nội tiết và chất tổng hợp thay thế và chất đối kháng không xếp loại ở đâu
T38.0,ngộ độc glucocorticoid và chất tổng hợp tương tự
T38.1,ngộ độc hormon tuyến giáp và chất thay thế
T38.2,ngộ độc thuốc chống tuyến giáp
T38.3,ngộ độc insulin và thuốc hạ đường huyết uống chống đái tháo đường
T38.4,ngộ độc thuốc tránh thai uống
T38.5,ngộ độc estrogen và progestogen khác
T38.6,ngộ độc thuốc kháng gonadotropin kháng tiestrogen kháng androgen không xếp loại ở phần nào khác
T38.7,ngộ độc androgen và sản phẩm đồng hóa tương tự
T38.8,ngộ độc hormon khác và hormon chưa xác định và chất tổng hợp thay thế
T38.9,ngộ độc hormon đối kháng và chưa xác định
W81,bị nhốt mắc bẫy trong môi trường oxy thấp
W83,các đe dọa thở khác biết đặc điểm
T54.3,nhiễm độc kiềm ăn mòn và chất giống kiềm
T54.9,nhiễm độc chất ăn mòn chưa xác định
T55,tác dụng đọ c của xà phòng và chất giặt tẩy
T56,ngộ độc kim loại
T56.0,nhiễm độc chì và hợp chất của chì
T56.1,nhiễm độc thủy ngân và hợp chất của thủy ngân
T56.2,nhiễm độc crôm và hợp chất của crom
T56.3,nhiễm độc dadmi và hợp chất của dadmi
T56.4,nhiễm độc đồng và hợp chất của đồng
T56.5,nhiễm độc kẽm và hợp chất của kẽm
T56.6,nhiễm độc thiếc và hợp chất của thiếc
T56.7,nhiễm độc beryllium và hợp chất của beryllium
T56.8,nhiễm độc kim loại khác
T56.9,nhiễm độc kim loại chưa xác định
T57,ngộ độc chất vô cơ
T57.0,nhiễm độc arsen và hợp chất của arsen
T57.1,nhiễm độc phospho và hợp chất của phospho
T57.2,nhiễm độc manganes và hợp chất của manganes
T57.3,nhiễm độc toxic effect hydrogen cyanide
T57.8,nhiễm độc chất vô cơ đã xác định khác
T57.9,nhiễm độc chất vô cơ chưa xác định
T58,ngộ độc carbon monoxide
T59,ngộ độc khí khác khói và hơi
T59.0,nhiễm độc nitrogen oxid
Y35.4,can thiệp hợp pháp liên quan vật sắc nhọn
Y35.5,hành hình hợp pháp
Y35.6,can thiệp hợp pháp liên quan các biện pháp khác có được biết rõ
Y35.7,can thiệp hợp pháp không biết rõ biện pháp
Y36,hành động trong chiến tranh
Y36.0,hoạt động chiến tranh do hỏa khí của lính thủy gây ra
Y36.1,hoạt động chiến tranh liên quan đến phá hủy phương tiện bay
Y36.2,hoạt động chiến tranh liên quan đến chất nổ và bom khác
Y36.3,hành động chiến tranh liên quan cháy cháy to và chất nóng
Y36.4,hành động chiến tranh liên quan đạn súng tay và các loại thông thường khác trong chiến tranh
Y36.5,hoạt động chiến tranh liên quan vũ khí hạt nhân
Y36.6,hoạt động chiến tranh liên quan vũ khí sinh học
Y36.7,hoạt động chiến tranh liên quan đến vũ khí hóa học và các vũ khí khác không theo qui ước chiến tranh
Y36.8,hoạt động chiến tranh xẩy ra sau khi đã ngừng hận thù
J63.8,bệnh phổi nghề nghiệp do bụi phổi vô cơ xác định khác
J64,bệnh bụi phổi không phân loại
J65,bệnh bụi phổi kết hợp với lao
J66,bệnh đường dẫn khí do bụi hữu cơ đặc biệt khác
J66.0,bụi phổi bông
J66.1,bệnh flax dresser
J66.2,bệnh đường hô hấp do ma túy
J66.8,bệnh đường dẫn bụi khí do bụi hữu cơ đặc biệt khác
J67,viêm phổi tăng cảm do bụi hữu cơ
J67.0,bệnh phổi của người nông dân
J67.1,bệnh phổi do bã mía
J67.2,bệnh phổi ở người nuôi chim
J67.3,bệnh phổi do xơ cây bần
J67.4,bệnh phổi của công nhân tiếp xúc với mạch nha bị mốc
J67.5,bệnh phổi của công nhân trồng nấm
L91.9,các bệnh quá sản của da không điển hình
L92,u hạt của da và tổ chức dưới da
L92.0,u hạt hình nhẫn
L92.1,hoại tử mỡ chưa phân loại ở phần khác
L92.2,u hạt ở mặt u hạt nhiễm bạch ái toan của da
L92.3,u hạt ở da và tổ chức dưới da do dị vật
L92.8,các bệnh u hạt ở da và tổ chức dưới da khác
L92.9,các bệnh u hạt ở da và tổ chức dưới da không điển hình
L93,lupus ban đỏ
L93.0,lupus ban đỏ dạng đĩa
L93.1,lupus ban đỏ bán cấp
L93.2,lupus ban đỏ khu trú khác
L94,các bệnh tổ chức liên kết khu trú khác
W44,dị vật vào trong hay đi qua mắt hay lỗ tự nhiên
W45,dị vật vào qua da
W46,tiếp xúc với kim tiêm dưới da
W49,bị ảnh hưởng của lực cơ học bất động khác không rõ đặc điểm
W50,bị người khác đập đánh đá vặn cắn cào
W51,bị người khác đánh lại hay húc vào
W52,bị đám đông hay đám người chạy toán loạn ép đẩy hay dẫm lên
W53,chuột cắn
W54,bị chó cắn đả thương
W55,cắn đả thương do loài động vật có vú khác
W56,tiếp xúc với động vật có vú ở dưới nước
W57,bị côn trùng không có nọc và các loài tiết túc không có nọc độc cắn hay đốt
W58,bị cá sấu cá sấu mỹ cắn hay đả thương
W59,bị loài bò sát khác cắn hay kẹp
W60,tiếp xúc với cây gai gai lá nhọn
W64,bị ảnh hưởng của lực cơ học không xác định do chuyển động
W65,ngã xuống nước ngập nước khi ở trong bồn tắm
W66,ngã xuống nước ngập nước sau khi ngã vào bồn tắm
W67,ngã xuống nước ngập nước khi ở bể bơi
W68,nxn hay nn sau khi ngã vào bể bơi
W69,ngã xuống nước ngập nước khi ở trong nước tự nhiên
W70,ngã xuống nước ngập nước sau khi ngã xuống nước tự nhiên
W73,ngã xuống nước ngập nước khác có rõ đặc điểm
W74,ngã xuống nước ngập nước không rõ đặc điểm
W75,tai nạn ngạt thở nghẹt thở trên giường
W76,tai nạn treo và thắt nghẹt khác
W77,đe dọa thở do sụt đất đất rơi và các chất khác
W78,hít phải chất chứa trong dạ dày
W79,hít và nuốt thức ăn gây tắc đường hô hấp
W80,hít và nuốt vật khác gây tắc đường thở
Z58.6,cung cấp nước uống không đầy đủ
Z58.7,tiếp cận tình thế với khói thuốc
Z58.8,các vấn đề khác liên quan đến môi trường vật lý
Z58.9,các vấn đề liên quan đến môi trường vật lý không đặc hiệu
Z59,những vấn đề liên quan đến nhà ở và hoàn cảnh kinh tế
Z59.0,tình trạng vô gia cư
Z87.7,tiền sử cá nhân có các dị tật bẩm sinh dị tật và bất thường nhiễm sắc thể
Z87.8,tiền sử cá nhân có các trạng thái bệnh đặc hiệu khác
Z88,tiền sử cá nhân có có các dị ứng với ma túy thuốc và các chất sinh vật khác
Z88.1,tiền sử cá nhân dị ứng với các kháng sinh khác
Z88.2,tiền sử cá nhân dị ứng với sulfonamides
Z88.3,tiền sử cá nhân dị ứng với các tác nhân chống nhiễm khuẩn khác
Z88.4,tiền sử cá nhân dị ứng với thuốc gây mê
Z88.5,tiền sử cá nhân dị ứng với các chất gây ngủ
Z88.6,tiền sử cá nhân dị ứng với các tác nhân giảm đau
Z88.7,tiền sử cá nhân dị ứng với huyết thanh và vaccin
Z88.8,tiền sử cá nhân dị ứng với các chất ma túy thuốc và các chất sinh học khác
S40.7,vết thương nông phức tạp của vai và cánh tay
S40.8,vết thương nông khác của vai và cánh tay
S40.9,vết thương nông của vai và cánh tay không đặc hiệu
S41,vết thương hở của vai và cánh tay
S41.0,vết thương hở của vai
S41.1,vết thương hở của cánh tay
S41.7,vết thương hở phức tạp của vai và cánh tay
S41.8,vết thương hở của các phần không xác định và khác của vòng ngực
S42,gãy xương vai và xương cánh tay
S42.0,gãy xương đòn
S42.00,gãy xương đòn gãy kín
S42.01,gãy xương đòn gãy hở
S42.1,gãy xương vai
S42.10,gãy xương vai gãy kín
S42.11,gãy xương vai gãy hở
S42.2,gãy phần trên xương cánh tay
S42.20,gãy phần trên xương cánh tay gãy kín
S42.21,gãy phần trên xương cánh tay gãy hở
S42.3,gãy thân xương cánh tay
